
{'Дата и время вызова функции': '2023-05-22, 21-37-23', 'Имя функции': 'get_headers', 'Аргументы': '(), {}', 'Возвращаемое значение': {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626 Safari/537.36'}}

{'Дата и время вызова функции': '2023-05-22, 21-37-26', 'Имя функции': 'get_headers', 'Аргументы': '(), {}', 'Возвращаемое значение': {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809 Safari/537.36'}}

{'Дата и время вызова функции': '2023-05-22, 21-37-29', 'Имя функции': 'get_headers', 'Аргументы': '(), {}', 'Возвращаемое значение': {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0 Safari/537.36'}}

{'Дата и время вызова функции': '2023-05-22, 21-37-32', 'Имя функции': 'get_headers', 'Аргументы': '(), {}', 'Возвращаемое значение': {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36'}}

{'Дата и время вызова функции': '2023-05-22, 21-37-34', 'Имя функции': 'get_headers', 'Аргументы': '(), {}', 'Возвращаемое значение': {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.80 Safari/537.36'}}

{'Дата и время вызова функции': '2023-05-22, 21-37-36', 'Имя функции': 'get_headers', 'Аргументы': '(), {}', 'Возвращаемое значение': {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36'}}

{'Дата и время вызова функции': '2023-05-22, 21-37-38', 'Имя функции': 'get_headers', 'Аргументы': '(), {}', 'Возвращаемое значение': {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36'}}

{'Дата и время вызова функции': '2023-05-22, 21-37-41', 'Имя функции': 'get_headers', 'Аргументы': '(), {}', 'Возвращаемое значение': {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.36'}}

{'Дата и время вызова функции': '2023-05-22, 21-37-43', 'Имя функции': 'get_headers', 'Аргументы': '(), {}', 'Возвращаемое значение': {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.92 Safari/537.36'}}

{'Дата и время вызова функции': '2023-05-22, 21-37-46', 'Имя функции': 'get_headers', 'Аргументы': '(), {}', 'Возвращаемое значение': {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.92 Safari/537.36'}}

